"AOU","alpha","common","group"
1540,"LTDU","LONG-TAILED DUCK","Waterfowl.csv"
1550,"HARD","HARLEQUIN DUCK","Waterfowl.csv"
1590,"COEI","COMMON EIDER","Waterfowl.csv"
1620,"KIEI","KING EIDER","Waterfowl.csv"
1630,"BLSC","BLACK SCOTER","Waterfowl.csv"
1650,"WWSC","WHITE-WINGED SCOTER","Waterfowl.csv"
1660,"SUSC","SURF SCOTER","Waterfowl.csv"
1670,"RUDU","RUDDY DUCK","Waterfowl.csv"
1690,"LSGO","LESSER SNOW GOOSE","Waterfowl.csv"
1700,"ROGO","ROSS'S GOOSE","Waterfowl.csv"
1710,"GWFG","GREATER WHITE-FRONTED GOOSE","Waterfowl.csv"
1720,"CAGO","CANADA GOOSE","Waterfowl.csv"
1740,"BLBR","BLACK BRANT","Waterfowl.csv"
1760,"EMGO","EMPEROR GOOSE","Waterfowl.csv"
1770,"BBWD","BLACK-BELLIED WHISTLING-DUCK","Waterfowl.csv"
1780,"FUWD","FULVOUS WHISTLING-DUCK","Waterfowl.csv"
1782,"MUSW","MUTE SWAN","Waterfowl.csv"
1800,"WHSW","WHISTLING SWAN","Waterfowl.csv"
1810,"TRUS","TRUMPETER SWAN","Waterfowl.csv"
1830,"ROSP","ROSEATE SPOONBILL","LoonIbis.csv"
1840,"WHIB","WHITE IBIS","LoonIbis.csv"
1860,"GLIB","GLOSSY IBIS","LoonIbis.csv"
1870,"WFIB","WHITE-FACED IBIS","LoonIbis.csv"
1880,"WOST","WOOD STORK","LoonIbis.csv"
1900,"AMBI","AMERICAN BITTERN","LoonIbis.csv"
1910,"LEBI","LEAST BITTERN","LoonIbis.csv"
1920,"GWHE","GREAT WHITE HERON","LoonIbis.csv"
1940,"GBHE","GREAT BLUE HERON","LoonIbis.csv"
1960,"GREG","GREAT EGRET","LoonIbis.csv"
1970,"SNEG","SNOWY EGRET","LoonIbis.csv"
1980,"REEG","REDDISH EGRET","LoonIbis.csv"
1990,"TRHE","TRICOLORED HERON","LoonIbis.csv"
2000,"LBHE","LITTLE BLUE HERON","LoonIbis.csv"
2001,"CAEG","CATTLE EGRET","LoonIbis.csv"
2010,"GRHE","GREEN HERON","LoonIbis.csv"
2020,"BCNH","BLACK-CROWNED NIGHT-HERON","LoonIbis.csv"
2030,"YCNH","YELLOW-CROWNED NIGHT-HERON","LoonIbis.csv"
2040,"WHCR","WHOOPING CRANE","RailCrane.csv"
2060,"SACR","SANDHILL CRANE","RailCrane.csv"
2070,"LIMP","LIMPKIN","RailCrane.csv"
2080,"KIRA","KING RAIL","RailCrane.csv"
2110,"CLRA","CLAPPER RAIL","RailCrane.csv"
2120,"VIRA","VIRGINIA RAIL","RailCrane.csv"
2140,"SORA","SORA","RailCrane.csv"
2150,"YERA","YELLOW RAIL","RailCrane.csv"
2160,"BLRA","BLACK RAIL","RailCrane.csv"
2180,"PUGA","PURPLE GALLINULE","RailCrane.csv"
2190,"COGA","COMMON GALLINULE","RailCrane.csv"
2210,"AMCO","AMERICAN COOT","RailCrane.csv"
2230,"RNPH","RED-NECKED PHALAROPE","Shorebird.csv"
2240,"WIPH","WILSON'S PHALAROPE","Shorebird.csv"
